"Name","Race","MMR","Games"
"YoyO","ZERG","4888","30"
"Bojinkins","TERRAN","","0"
"Galeforce","PROTOSS","4530","61"
"TEarDroP","TERRAN","4816","1"
"Dyncommon","ZERG","4635","21"
"Kirt","PROTOSS","4450","13"
"TheKazootie","TERRAN","","0"
"Quaven","PROTOSS","4338","1"
"Derp","ZERG","4113","3"
"Vedeynevin","ZERG","4061","1"
"NoamPomsky","ZERG","3921","9"
"Duttles","ZERG","3726","9"
"LeWaffles","PROTOSS","3490","22"
"Tixt","ZERG","3331","27"
"Rocky","PROTOSS","3463","1"
"MrHyde","PROTOSS","3167","1"
"sherpard","PROTOSS","3126","15"
"Oghma","ZERG","2867","14"
"Coast","ZERG","2955","2"
"floski","TERRAN","3347","1"
"UnKleToBy","PROTOSS","4941","21"
"JonBom","PROTOSS","5124","37"
"Sawblade","TERRAN","3743","24"
"Awful","TERRAN","4759","2"
"Unknown","TERRAN","4494","35"
"GeminiDTX","PROTOSS","2968","24"
"DJCylon","ZERG","3595","1"
"Magyner","ZERG","3879","7"
"whoneth","PROTOSS","4485","1"
"Dyncommon","PROTOSS","3747","21"
"Dyncommon","TERRAN","4051","21"
"Dyncommon","RANDOM","3928","21"
"JonBom","TERRAN","4365","37"
"Galeforce","ZERG","4214","61"
